rowidx,Bronx Community Boards,Bronx Community Board Websites,Brooklyn Community Boards,Brooklyn Community Board Websites,Manhattan Community Boards,Manhattan Community Board Websites,Queens Community Boards,Queens Community Board Websites,Staten Island Community Boards,Staten Island Community Board Websites
row 0,Community Board 1, http://www.nyc.gov/html/bxcb1/html/home/home.shtml,Community Board 1, http://www.nyc.gov/brooklyncb1,Community Board 1, http://www1.nyc.gov/site/manhattancb1/index.page,Community Board 1, http://www1.nyc.gov/site/queenscb1/index.page,Community Board 1, http://www.nyc.gov/sicb1
row 1,Community Board 2, http://www.nyc.gov/cgi-bin/exit.pl?url=http://bxcb2.org/,Community Board 2, http://www.nyc.gov/html/bkncb2/html/home/home.shtml,Community Board 2, http://www.nyc.gov/manhattancb2,Community Board 2, http://www.nyc.gov/html/qnscb2/html/home/home.shtml,Community Board 2,http://www.cb2si.com/
row 2,Community Board 3, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.bronxmall.com/commboards/cd3.html,Community Board 3, http://www1.nyc.gov/site/brooklyncb3/index.page  ,Community Board 3, http://www.nyc.gov/manhattancb3,Community Board 3, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb3qn.nyc.gov/,Community Board 3, http://www.nyc.gov/sicb3
row 3,Community Board 4, http://www1.nyc.gov/site/bronxcb4/index.page,Community Board 4, http://www1.nyc.gov/site/brooklyncb4/index.page,Community Board 4, http://www.nyc.gov/mcb4,Community Board 4, http://www1.nyc.gov/site/queenscb4/index.page,,
row 4,Community Board 5, http://www.nyc.gov/html/bxcb5/html/home/home.shtml,Community Board 5, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.brooklyncb5.org,Community Board 5, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb5.org,Community Board 5, http://www1.nyc.gov/site/queenscb5/index.page,,
row 5,Community Board 6, http://www.nyc.gov/cgi-bin/exit.pl?url=http://bronxcb6.org,Community Board 6, http://www1.nyc.gov/site/brooklyncb6/index.page,Community Board 6, http://www.nyc.gov/cgi-bin/exit.pl?url=http://cbsix.org,Community Board 6, http://www1.nyc.gov/site/queenscb6/index.page,,
row 6,Community Board 7, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.bronxcb7.info/,Community Board 7, http://www1.nyc.gov/site/brooklyncb7/index.page,Community Board 7, http://www.nyc.gov/mcb7,Community Board 7,http://www.nyc.gov/html/qnscb7/html/home/home.shtml,,
row 7,Community Board 8, http://www.nyc.gov/bronxcb8,Community Board 8, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.brooklyncb8.org/,Community Board 8, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb8m.com/,Community Board 8, http://www1.nyc.gov/site/queenscb8/index.page,,
row 8,Community Board 9, http://www.nyc.gov/html/bxcb9/html/home/home.shtml,Community Board 9, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.communitybrd9bklyn.org/,Community Board 9, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb9m.org,Community Board 9, http://www1.nyc.gov/site/queenscb9/index.page,,
row 9,Community Board 10, http://www1.nyc.gov/site/bronxcb10/index.page,Community Board 10, http://www1.nyc.gov/site/brooklyncb10/index.page,Community Board 10, http://www.nyc.gov/html/mancb10/html/home/home.shtml,Community Board 10, http://www1.nyc.gov/site/queenscb10/index.page,,
row 10,Community Board 11, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.bronxmall.com/commboards/cd10.html,Community Board 11, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.brooklyncb11.org/,Community Board 11, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb11m.org/,Community Board 11, http://www1.nyc.gov/site/queenscb11/index.page,,
row 11,Community Board 12, http://www.nyc.gov/bxcb11,Community Board 12, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.brooklyncb12.org,Community Board 12, http://www.nyc.gov/html/mancb12/html/home/home.shtml,Community Board 12, http://www.nyc.gov/qcb12,,
row 12,,,Community Board 13, http://www1.nyc.gov/site/brooklyncb13/index.page,,,Community Board 13, http://www1.nyc.gov/site/queenscb13/index.page,,
row 13,,,Community Board 14, http://www.nyc.gov/cgi-bin/exit.pl?url=http://www.cb14brooklyn.com,,,Community Board 14, http://www1.nyc.gov/site/queenscb14/index.page,,
row 14,,,Community Board 15, http://www1.nyc.gov/site/brooklyncb15/index.page,,,,,,
row 15,,,Community Board 16, http://www1.nyc.gov/site/brooklyncb16/index.page,,,,,,
row 16,,,Community Board 17, http://cb17brooklyn.org/,,,,,,
row 17,,,Community Board 18,No Website?,,,,,,
